type,business_id,name,city,stars,review_count,categories,open
business,4bEjOyTaDG24SY5TxsaUNQ,Mon Ami Gabi,Las Vegas,4,4578,[Breakfast & Brunch:Steakhouses:French:Restaurants],TRUE
business,2e2e7WgqU1BnpxmQL5jbfw,Earl of Sandwich,Las Vegas,4.5,3984,[Sandwiches:Restaurants],TRUE
business,zt1TpTuJ6y9n551sw9TaEg,Wicked Spoon,Las Vegas,3.5,3828,[Buffets:Restaurants],TRUE
business,sIyHTizqAiGu12XMLX3N3g,Bacchanal Buffet,Las Vegas,4,3046,[Buffets:Restaurants],TRUE
business,Xhg93cMdemu5pAMkDoEdtQ,Serendipity 3,Las Vegas,3,3007,[American (Traditional):Restaurants],TRUE
business,YNQgak-ZLtYJQxlDwN-qIg,The Buffet,Las Vegas,3.5,2949,[Buffets:Restaurants],TRUE
business,tFU2Js_nbIZOrnKfYJYBBg,Bouchon Bistro,Las Vegas,4,2593,[Breakfast & Brunch:French:Restaurants],TRUE
business,CZjcFdvJhksq9dy58NVEzw,The Buffet at Bellagio,Las Vegas,3.5,2583,[American (New):Buffets:Restaurants],TRUE
business,aGbjLWzcrnEx2ZmMCFm3EA,Gordon Ramsay BurGR,Las Vegas,4,2537,[Burgers:Restaurants],TRUE
business,xfwRO04KbAPw_zRotCfWQQ,Hash House A Go Go,Las Vegas,4,2395,[Breakfast & Brunch:American (New):Restaurants],TRUE
business,DO3Gk17RyJVW7zYMCtYPnw,Mesa Grill,Las Vegas,4,2143,[Southern:Restaurants],TRUE
business,QbmcCE_cLq4WO8ZMKImaLw,Hash House A Go Go,Las Vegas,4,2110,[Breakfast & Brunch:American (New):Restaurants],TRUE
business,eq6lQI039SBLC6sHm3idGA,Secret Pizza,Las Vegas,4,2105,[Pizza:Restaurants],TRUE
business,lliksv-tglfUz1T3B3vgvA,Lotus of Siam,Las Vegas,4,2063,[Thai:Restaurants],TRUE
business,xyTJYlbE_MLouK6rCou6zg,Burger Bar,Las Vegas,4,1986,[Bars:American (Traditional):Nightlife:Restaurants],TRUE
business,PXviRcHR1mqdH4vRc2LEAQ,Bachi Burger,Las Vegas,4,1930,[Burgers:Restaurants],TRUE
business,BqrTtox0JbG-P_DKBB5bBw,Holsteins Shakes and Buns,Las Vegas,4,1757,[Burgers:American (Traditional):Restaurants],TRUE
business,jOuERtVf7QePnK9ZcdH5XA,Grand Lux Cafe,Las Vegas,4,1645,[Food:Desserts:American (Traditional):Restaurants],TRUE
business,mDdqifuTrfXAOfxiLMGu5Q,Gordon Ramsay Steak,Las Vegas,4,1542,[Steakhouses:Restaurants],TRUE
business,HbUQ_3dlm3uCacmhTEMnuA,Tom Colicchio's Craftsteak,Las Vegas,4,1531,[Steakhouses:American (New):Restaurants],TRUE
business,FV16IeXJp2W6pnghTz2FAw,Pho Kim Long,Las Vegas,3.5,1514,[Vietnamese:Chinese:Restaurants],TRUE
business,rBPQuQgTcMtUq5-RYhY2uQ,Le Village Buffet,Las Vegas,3.5,1424,[Buffets:Restaurants],TRUE
business,SsTxjxo8qvqBMvan1rzNzg,The Peppermill Restaurant & Fireside Lounge,Las Vegas,4,1394,[Bars:American (Traditional):Breakfast & Brunch:Nightlife:Lounges:Restaurants],TRUE
business,8buIr1zBCO7OEcAQSZko7w,Firefly,Las Vegas,4.5,1352,[Tapas/Small Plates:Tapas Bars:Restaurants],FALSE
business,DjOxXobyGDwWt89q4z1twg,Monta Ramen,Las Vegas,4,1323,[Ramen:Japanese:Restaurants],TRUE
business,NsnZ5GhagXBKrCOelxVQxw,SUSHISAMBA - Las Vegas,Las Vegas,4,1264,[Bars:Asian Fusion:Nightlife:Restaurants],TRUE
business,tqu42L0qXzkvYKSruOz0IA,Ellis Island Casino & Brewery,Las Vegas,4,1229,[Arts & Entertainment:American (Traditional):Food:Breweries:Casinos:Restaurants],TRUE
business,IRYj1b1-mlXqABVsl9SoqQ,Tacos El Gordo,Las Vegas,4.5,1223,[Mexican:Restaurants],FALSE
business,ngNvH4sxnH9aMukTZ67R_Q,Carnival World Buffet,Las Vegas,3.5,1176,[Buffets:Restaurants],TRUE
business,SLyacGZuMUKqrQJEooSkjw,Spice Market Buffet,Las Vegas,3,1163,[Buffets:Restaurants],TRUE
business,YrIfgzLj0DPStJ1ESAS_Qg,Hot N Juicy Crawfish,Las Vegas,4,1142,[Seafood:American (Traditional):Cajun/Creole:Restaurants],TRUE
business,4UVhuOLaMm2-34SrW8y-ag,Ichiza,Las Vegas,4,1126,[Japanese:Restaurants],TRUE
business,zTCCbg7mGslxACL5KlAPIQ,The Buffet at ARIA,Las Vegas,3,1125,[Buffets:Restaurants],TRUE
business,KjymOs12Mpy0Kd54b7T9MA,Olives,Las Vegas,4,1124,[Bars:Mediterranean:Nightlife:Restaurants],TRUE
business,5GKbGn9-fAgQ0njSh3OJ8A,LAVO Italian Restaurant & Lounge,Las Vegas,3.5,1069,[Bars:Dance Clubs:Nightlife:Lounges:Italian:Restaurants],TRUE
business,RhbOa-Ft3sZB4B_1j5LfyA,Mr. Mama's,Las Vegas,4.5,1065,[Breakfast & Brunch:Sandwiches:Restaurants],TRUE
business,HyfFenprdpIA4rmKu6DW3g,Oyster Bar,Las Vegas,4.5,1063,[Nightlife:Seafood:Bars:Restaurants],TRUE
business,YacTpiq0ZptFcXD7I-kdGA,Delmonico Steakhouse,Las Vegas,4,1037,[Steakhouses:Restaurants],TRUE
business,LLDGTT7FExklkQvHebEjRg,Joe's Seafood Prime Steak & Stone Crab,Las Vegas,4,1023,[Seafood:Steakhouses:Restaurants],TRUE
business,1yx2zLskVTe5WQdYjL2Apw,Egg & I,Las Vegas,4.5,1022,[Burgers:Breakfast & Brunch:Sandwiches:Restaurants],TRUE
business,eLPld7Q17XxlclFGzZQX5g,Yama Sushi,Las Vegas,4,1013,[Sushi Bars:Restaurants],TRUE
business,AeKTQBtPRDHLAFL9bzbUnA,Sushi House Goyemon,Las Vegas,4,1000,[Sushi Bars:Japanese:Restaurants],TRUE
business,BqD7X5CHXnJ14YbBBlLx1w,Julian Serrano,Las Vegas,4,990,[Tapas Bars:Spanish:Restaurants],TRUE
business,Pz7SWZQhxL6ZbhL9jE2NTA,MIX,Las Vegas,4,933,[Bars:French:Nightlife:Lounges:American (New):Restaurants],TRUE
business,vSf0pqvaLp5sVSjJPeOqqQ,Todd English P.U.B.,Las Vegas,3.5,929,[Bars:Food:Beer: Wine & Spirits:Nightlife:Gastropubs:Restaurants],TRUE
business,3fV9sL5LklD9ZSeONKmjkw,BLT Burger,Las Vegas,3.5,908,[Burgers:Restaurants],TRUE
business,H_SuH7uLiYahDMbNBB9kog,KoMex Fusion,Las Vegas,4.5,902,[Korean:Asian Fusion:Mexican:Restaurants],TRUE
business,gGeVLZ9j_wAYKbaqgnKSJA,Tao Asian Bistro,Las Vegas,3.5,892,[Asian Fusion:Restaurants],TRUE
business,ASOiJ8MmbBTgK2D1_MQrqg,Eiffel Tower Restaurant,Las Vegas,4,888,[Steakhouses:French:Restaurants],TRUE
business,Z0kyK8wCBNGkkUT9UrMWcg,Del Frisco's Double Eagle Steak House,Las Vegas,4.5,885,[Steakhouses:Restaurants],TRUE
business,ryvMJK6AlbU35HKrlFT61w,Texas de Brazil,Las Vegas,4,885,[Steakhouses:Restaurants:Gluten-Free:Brazilian],TRUE
business,3MmHmJXr8Ltk_Z5EGE4KUw,Carnevino,Las Vegas,3.5,861,[Steakhouses:Restaurants:Italian],TRUE
business,BW1JCE3Qj4uIokg7kLUL7w,Wolfgang Puck Bar and Grill,Las Vegas,4,851,[Bars:American (New):Nightlife:Restaurants],TRUE
business,ES-j5yNTgmgbL4He0h6otA,Hofbrauhaus - Las Vegas,Las Vegas,3.5,846,[German:Bars:Nightlife:Restaurants],TRUE
business,cMvN1j-LK64zqmT4vnl8NA,China Poblano,Las Vegas,3,835,[Mexican:Chinese:Restaurants],TRUE
business,szw8OGJlsqaA3i2oe7dn9A,Jean Philippe Patisserie,Las Vegas,4,825,[Bakeries:Food:Specialty Food:Desserts:Chocolatiers & Shops:Restaurants],TRUE
business,naLrErBuJr9IWd6_rv6-XQ,CUT,Las Vegas,4,820,[Bars:Steakhouses:Nightlife:Lounges:Restaurants],TRUE
business,iXA8Y2bzvZo8MjALfZxrIg,Margaritaville,Las Vegas,3.5,818,[Bars:American (Traditional):Nightlife:Restaurants],TRUE
business,05fTEsjUPVo5jks8PpNKCQ,Rollin Smoke Barbeque,Las Vegas,4.5,811,[Burgers:Soul Food:Barbeque:Restaurants],TRUE
business,ZP6qFq7LUh6Tr7WHPoOW6g,eat.,Las Vegas,4,805,[Breakfast & Brunch:American (New):Restaurants],TRUE
business,Q_Rwcv9APBLggk2KAsBEvg,Border Grill,Las Vegas,4,795,[Tapas/Small Plates:Breakfast & Brunch:Mexican:Restaurants],TRUE
business,N50HceZf1595UtU867u4uQ,Fleur by Hubert Keller,Las Vegas,3.5,792,[Tapas/Small Plates:Restaurants],TRUE
business,xNcqwYAUeVOhe3KNC4Xjaw,Raku,Las Vegas,4.5,791,[Japanese:Restaurants],TRUE
business,KJnVuzpveyDrHARVNZaYVg,Hooters Casino Hotel,Las Vegas,2.5,770,[Casinos:Arts & Entertainment:American (Traditional):American (New):Restaurants],TRUE
business,XDYnLQC8ViZejuCDp4eCwg,STRIPSTEAK,Las Vegas,4,756,[Cheesesteaks:Steakhouses:Restaurants],TRUE
business,q_DrPmiLrHEpR_SQvQXELQ,Nobu,Las Vegas,4,751,[Sushi Bars:Japanese:Restaurants],TRUE
business,KcSJUq1kwO8awZRMS6Q49g,Pink's Hot Dogs,Las Vegas,3,750,[Fast Food:Hot Dogs:Restaurants],TRUE
business,LCeF1wK5OqP3PPEVBa5Xfw,BabyStacks Cafe,Las Vegas,4,746,[Breakfast & Brunch:American (Traditional):Restaurants],TRUE
business,nZgYNbl1XlZyyKlISMoG6w,Sugar Factory American Brasserie,Las Vegas,3,744,[Breakfast & Brunch:Bars:American (New):Nightlife:Restaurants],TRUE
business,kwEQ3uY9Jwmknb5kNg3UlA,Grand Lux Cafe,Las Vegas,4,739,[Food:Desserts:American (Traditional):Restaurants],TRUE
business,BQjGE1Z3nk253XzIZqt8Gg,Jean Philippe Patisserie,Las Vegas,4,738,[Food:Desserts:Coffee & Tea:Cafes:Restaurants],TRUE
business,lPh02W25cOrAz57UbTpbFQ,Oyshi Sushi,Las Vegas,3.5,735,[Sushi Bars:Restaurants],TRUE
business,1U1GRksKXF7q8FKcW0e5VQ,Mastro's Ocean Club,Las Vegas,4.5,732,[Seafood:Steakhouses:Restaurants],TRUE
business,Zf7fMSe7yuW727JyikdBsg,Riviera Hotel & Casino,Las Vegas,2.5,729,[Arts & Entertainment:Casinos:Event Planning & Services:Hotels & Travel:Hotels:Restaurants],TRUE
business,8zL3V6rmFKBess3bxPLAoQ,Cravings Buffet at Mirage,Las Vegas,3.5,729,[American (Traditional):American (New):Buffets:Restaurants],TRUE
business,QJlab4DqvBRJPUfg7Vn5ZQ,Spago,Las Vegas,4,728,[American (New):Restaurants],TRUE
business,j_pce4pG9krrBeYwUni8Pg,Yard House,Las Vegas,4,725,[Vegetarian:Bars:American (New):Nightlife:Restaurants],TRUE
business,OiCxoAIoBvEWxf7p1qVVmA,Sage,Las Vegas,4,720,[American (New):Mediterranean:Restaurants],TRUE
business,8Pzdk19tA2bKlKDSgwWqoQ,Scarpetta,Las Vegas,4,709,[Restaurants:Italian],TRUE
business,cN6qpVw6RaSrSI-JGGF4Tw,Jaleo,Las Vegas,3.5,705,[Tapas/Small Plates:Spanish:Restaurants],TRUE
business,-2n-OHbbwIv3SY8RP9bgTQ,Maggiano's Little Italy,Las Vegas,4,704,[Restaurants:Italian],TRUE
business,4uGHPY-OpJN08CabtTAvNg,L'Atelier de Joel Robuchon,Las Vegas,4.5,702,[French:Restaurants],TRUE
business,QRXv7Jvq_SuiiT_SKvbdig,STK Las Vegas,Las Vegas,4,702,[Steakhouses:Restaurants],TRUE
business,OwBPjUz2o0J5K3DzcHkBtg,Soho Japanese Restaurant,Las Vegas,4.5,700,[Sushi Bars:Japanese:Restaurants],TRUE
business,t6SuvEq9PPVGzNv5bJzDtw,Bachi Burger,Las Vegas,4,696,[Burgers:Asian Fusion:Restaurants],TRUE
business,tn5SXZvWiT-uVsjXLGSrww,Village Seafood Buffet,Las Vegas,3.5,693,[Seafood:Buffets:Restaurants],TRUE
business,ateowLnq6kpgNNWHzCDByQ,Guy Fieri,Las Vegas,3.5,672,[Burgers:Breakfast & Brunch:American (Traditional):Restaurants],TRUE
business,y6NFyThUU2wtTNa0rX7VrA,DW Bistro,Las Vegas,4.5,668,[American (New):Caribbean:Restaurants],TRUE
business,ggoYlZeQhATwb_yGSntfdw,RM Seafood,Las Vegas,3.5,655,[Seafood:Sushi Bars:Restaurants],TRUE
business,b25jGkZerj2M4WAy95n1Tg,Pampas Churrascaria,Las Vegas,3,653,[Steakhouses:Restaurants:Buffets:Brazilian],TRUE
business,dVAurLD1bBIi9IvuMFoL5g,N9NE Steakhouse,Las Vegas,4,649,[American (Traditional):Steakhouses:Seafood:Restaurants],TRUE
business,rfDTJLEwZZ2EGOZiTDdqQA,Sushi Roku,Las Vegas,4,649,[Bars:Sushi Bars:Japanese:Nightlife:Lounges:Restaurants],TRUE
business,yJDSMugu_Pom3pJE8MRrJA,Diablo's Cantina,Las Vegas,3,647,[Bars:Mexican:Nightlife:Restaurants],TRUE
business,UEUQS4z7s-DRzQjky92KYw,Pink Taco,Las Vegas,3.5,646,[Mexican:Restaurants],TRUE
business,9Bnc9YP0n5cR57xkP6fQmQ,Top of the World Restaurant,Las Vegas,4,634,[American (Traditional):Restaurants],TRUE
business,s5-VDvUqyYnD8RG3LPqnbQ,Giada,Las Vegas,4,632,[Restaurants:Italian],TRUE
business,pPfQ73--Y_h5Or0aqDgEGA,BabyStacks Cafe,Las Vegas,4,630,[Breakfast & Brunch:Cafes:Restaurants],TRUE
business,J4qLz0nGzCTMf6-kf_SiQg,Carnegie,Las Vegas,3,627,[Delis:American (New):Sandwiches:Restaurants],TRUE
business,yD1dRYi7USzhYVKiqZ7JVg,Sushi Mon,Las Vegas,4,623,[Sushi Bars:Japanese:Restaurants],TRUE
business,25fxw_jOqZtJwl18cCarIA,Honey Salt,Las Vegas,4,611,[American (New):Cafes:Restaurants],TRUE
business,ZHDf8TUICsB2peQ9AmXeFw,Le Thai,Las Vegas,4,608,[Thai:Restaurants],TRUE
business,Gn7bMxhZgY0bivsthvJWJQ,Bayside Buffet at Mandalay Bay,Las Vegas,3,605,[Casinos:Arts & Entertainment:American (Traditional):Buffets:Restaurants],TRUE
business,5rDosv0aIBhLg81IMSnlyg,SW Steakhouse,Las Vegas,4,603,[Steakhouses:Restaurants],TRUE
business,tcphcsPONrP82kUyvcELoA,Noodle Asia,Las Vegas,3.5,603,[Chinese:Restaurants],TRUE
business,MN0OLvP8i0SirMJ7AMuMzA,Pizza Rock,Las Vegas,4.5,603,[Pizza:Restaurants],TRUE
business,H6CJflwclNpttYrtsBMsVg,Emeril's New Orleans Fish House,Las Vegas,3.5,597,[Seafood:American (New):Restaurants],TRUE
business,wfofFm3AqtyK_ujNQ893mQ,Joel Robuchon,Las Vegas,4.5,597,[French:Restaurants],TRUE
business,Ensu96ecI0OReupNS2x7ig,Gallagher's Steakhouse,Las Vegas,4,594,[Steakhouses:Restaurants],TRUE
business,Yq8LiVymGA7vBpGCQuDfRw,Pho So 1,Las Vegas,3.5,589,[Vietnamese:Restaurants],TRUE
business,bmNPNlCLDplWB55ic3Bixg,Shibuya,Las Vegas,4,586,[Japanese:Restaurants],TRUE
business,79EG9Pv0bxNTmBjTVCd4CQ,Brio Tuscan Grille,Las Vegas,4,583,[Restaurants:Italian],TRUE
business,uqisw8IXD5ZutU4MT2MQVw,Social House,Las Vegas,4,581,[Bars:Japanese:Asian Fusion:Nightlife:Lounges:Restaurants],TRUE
business,05tazaFQt1EnQ_Gk_1AFyg,Nine Fine Irishmen,Las Vegas,4,580,[Pubs:Bars:Nightlife:Irish:Restaurants],TRUE
business,VkPzsY09S4zO0XqhA1mc6Q,Island Flavor,Las Vegas,4.5,573,[Hawaiian:Restaurants],TRUE
business,kgt13cwkP03NS8FJKgdLMw,Ramen Sora,Las Vegas,4,571,[Ramen:Japanese:Restaurants],TRUE
business,rNahhyqDlouyDMHh57p3ug,B&B Ristorante,Las Vegas,3.5,569,[Restaurants:Italian],TRUE
business,APe_0I6DqbNQonSlEkMSEQ,Lawry's The Prime Rib,Las Vegas,4.5,565,[Steakhouses:Restaurants],TRUE
business,Fh6OndE60vzvyhCX1Wg7Aw,In-N-Out Burger,Las Vegas,4,561,[Burgers:Fast Food:Restaurants],TRUE
business,xheJf3qJLLf4-Ck8ay3GFg,Cabo Wabo Cantina,Las Vegas,3,560,[Mexican:Restaurants],TRUE
business,E9ZsPtGovfEPHlMHkDdlQA,Noodles,Las Vegas,3,554,[Korean:Asian Fusion:Dim Sum:Chinese:Restaurants],TRUE
business,c12WDNrP2wyQgbnEYDdxCw,MGM Grand Buffet,Las Vegas,2.5,554,[American (Traditional):Buffets:Restaurants],TRUE
business,Gvw2ewUbqq7PWkxKwjqifA,The Barrymore,Las Vegas,4,548,[American (New):Restaurants],TRUE
business,3OB5gQqibKGTzx9R1w7wKQ,SkinnyFATS,Las Vegas,4.5,545,[Food:American (Traditional):Juice Bars & Smoothies:American (New):Restaurants],TRUE
business,blgSBn3CimrCHn2SuZvcZw,Viva Las Arepas,Las Vegas,4.5,543,[Venezuelan:Latin American:Restaurants],TRUE
business,_6gbnNRPIc-iM_0cBLPX1A,Estiatorio Milos,Las Vegas,4,539,[Greek:Restaurants],TRUE
business,pVH6ngKnMdJSpkFEw0XKlQ,Tacos El Gordo,Las Vegas,4.5,535,[Mexican:Restaurants],TRUE
business,-5RN56jH78MV2oquLV_G8g,Picasso,Las Vegas,4.5,532,[Bars:Nightlife:French:Restaurants],TRUE
business,i3ogCoQD4MY_sR73GCk-BA,Nora's Cuisine,Las Vegas,4,525,[Restaurants:Pizza:Italian],TRUE
business,_VN5hYv1VgNIBgwxTQZ_1Q,Mr. Lucky's 24-7,Las Vegas,3.5,525,[American (Traditional):Diners:Restaurants],TRUE
business,r0ZoytDjK4CY5ytFNjZLvw,Kinh Do,Las Vegas,4,524,[Vietnamese:Restaurants],TRUE
business,JsDZZ9S3qntzCfo5N_Ci6A,Yellowtail,Las Vegas,3.5,520,[Food:Beer: Wine & Spirits:Steakhouses:Japanese:Restaurants],TRUE
business,gkWEjZIVcrUerEzed6IKpg,Mint Indian Bistro,Las Vegas,4,518,[Indian:Restaurants],TRUE
business,YppzR-sn8y15dmUd1lLcfw,Sambalatte Torrefazione,Las Vegas,4,518,[Food:Coffee & Tea:American (New):Cafes:Restaurants],TRUE
